id,name,Currency,local_price,BMI,dollar_ex,valuation,USDPRICE,converted_price
0,China,CNY,21.7,4.502074689,7.0035,-0.357167889,4.82,3.098450775
1,Hong Kong,HKD,20.5,4.253112033,7.75095,-0.451278613,4.82,2.644837084
2,Indonesia,IDR,34000,7053.941909,14435,-0.511330661,4.82,2.355386214
3,India,INR,190,39.41908714,75.1975,-0.475792584,4.82,2.526679743
4,Japan,JPY,390,80.91286307,107.275,-0.245743528,4.82,3.635516197
5,South Korea,KRW,4500,933.6099585,1200.95,-0.222607137,4.82,3.747033598
6,Malaysia,MYR,9.99,2.072614108,4.2655,-0.514098205,4.82,2.342046653
7,Pakistan,PKR,550,114.1078838,166.5,-0.314667364,4.82,3.303303303
8,Philippines,PHP,142,29.46058091,49.426,-0.403945678,4.82,2.872981831
9,Singapore,SGD,5.9,1.22406639,1.3876,-0.117853567,4.82,4.251945806
10,Thailand,THB,128,26.5560166,31.385,-0.153862782,4.82,4.078381392
11,Taiwan,TWD,72,14.93775934,29.4565,-0.492887501,4.82,2.444282247
